team,year,region,seed,play-in,rd_1,rd_2,rd_3,rd_4,rd_5,rd_6,TPPG,TPPG_last3,FGPG,FGPG_last3,FTAPG,FTAPG_last3,FTMPP,FTMPP_last3,ORP,ORP_last3,ORPG,ORPG_last3,DRP,DRP_last3,DRPG,DRPG_last3,APG,APG_last3,FPG,FPG_last3,ASM,ASM_last3,ATR,ATR_last3,OE,OE_last3,DE,DE_last3
Oregon,2003,midwest,8,NA,0,0,0,0,0,0,9,9.3,28.5,27,20.7,18.3,20.802,19.187,0.309,0.364,9.8,10.7,0.659,0.602,22.4,19.7,17.6,14.7,20.9,20.7,8.2,3.3,1.161,1,1.067,1.06,0.96,1.014
Utah,2003,midwest,9,NA,1,0,0,0,0,0,7.2,7,23.2,18.7,18.8,18.7,20.794,20.757,0.308,0.212,8.4,6,0.742,0.776,21.4,22,13.2,12.7,20,17.7,6.7,-1,1.073,1.52,1.049,0.974,0.943,0.992
Alabama,2003,midwest,10,NA,0,0,0,0,0,0,6.4,8,24,25.3,20.9,17,21.79,18.206,0.369,0.36,11.9,12,0.702,0.765,21.9,21.7,12.1,10.3,18,17,4.3,2,0.931,0.775,1.016,1.048,0.953,1.019
S Illinois,2003,midwest,11,NA,0,0,0,0,0,0,6.1,3.7,27.4,23,19.4,19.3,19.599,23.165,0.31,0.253,9.6,7.7,0.691,0.646,21.1,21.3,13.7,11.3,19.3,18,6.4,-1,1.093,1.062,1.066,0.982,0.974,0.997
Weber State,2003,midwest,12,NA,0,0,0,0,0,0,6.1,5,24.9,25.7,25.5,25,27.198,27.446,0.315,0.423,9.3,13.7,0.698,0.775,21.5,23,14.4,18,19.1,20,7,11.7,1.128,1.459,1.094,1.103,0.992,0.931
Tulsa,2003,midwest,13,NA,1,0,0,0,0,0,6.8,4.7,26.1,23.3,19.7,28,20.273,32.73,0.323,0.344,10.1,11,0.673,0.703,24,27.7,14.7,14.3,17.5,16.7,7.4,18.3,1.019,1.103,1.04,1.069,0.934,0.804
Holy Cross,2003,midwest,14,NA,0,0,0,0,0,0,5.3,6.3,24.2,24,22.1,19.3,23.371,22.929,0.365,0.338,10.5,8.3,0.765,0.836,22.6,20.3,15.4,17.3,18.4,16,11.1,17,1.143,1.486,1.038,1.119,0.871,0.841
Wagner,2003,midwest,15,NA,0,0,0,0,0,0,7.1,6.3,27.3,28.3,19.4,16.3,19.982,19.188,0.355,0.423,10.8,11,0.69,0.547,21.2,15.7,16.2,15.3,17.5,17.3,4.5,15.3,1.085,1.278,1.066,1.146,1.004,0.914
IUPUI,2003,midwest,16,NA,0,0,0,0,0,0,6.5,6.3,24.3,25.3,22.5,20.7,22.462,22.177,0.331,0.337,10,10.7,0.673,0.637,19.5,17,13.4,14.3,19.2,16,0.3,10.3,0.856,1.433,1.012,1.125,1.007,0.961
Texas,2003,south,1,NA,1,1,1,1,0,0,5.9,6.3,28,27.7,23.8,22.3,23.5,22.07,0.419,0.398,14.6,13.7,0.689,0.679,24.6,24,14.5,13.3,20.4,20.3,10.2,2.7,1.083,1.176,1.09,1.108,0.949,1.07
